,Q,Score Type,Time Remaining,Play,BAL,YKW
1,1,TD,5:08,Alexandre LeClair 1 yd pass from Chris Orosz. (Archibald Booter kick),0,7
2,1,TD,0:08,Alexandre LeClair 1 yd pass from Chris Orosz. (Archibald Booter kick),0,14
4,2,FG,9:10,34 yd FG by Archibald Booter,0,17
5,2,TD,3:06,Ryan Lecavalier 9 yd pass from Scrub Kyubee. (Turk Turkleton kick),7,17
6,2,FG,0:21,55 yd FG by Archibald Booter,7,20
8,3,FG,11:35,31 yd FG by Turk Turkleton,10,20
9,3,TD,2:57,Alexandre LeClair 4 yd pass from Chris Orosz. (Archibald Booter kick),10,27
11,4,FG,14:24,47 yd FG by Turk Turkleton,13,27
12,4,TD,13:31,Levon Novel 1 yd run. (Turk Turkleton kick),20,27
13,4,TD,10:23,Dirk Cutter 16 yd interception return. (Archibald Booter XP no good),20,33
14,4,TD,0:00,Bubba Nuck 2 yd run. (Archibald Booter kick),20,40
