,Q,Score Type,Time Remaining,Play,AZ,SJS
1,1,TD,6:58,D.J. (R) Riddick 1 yd run. (Iyah Blewitt kick),0,7
3,2,FG,13:55,22 yd FG by Dean Jackson,3,7
4,2,TD,7:16,Denzel Diaz 6 yd run. (Iyah Blewitt kick),3,14
5,2,FG,0:58,27 yd FG by Dean Jackson,6,14
6,2,TD,0:41,Mayran Jackson 104 yd kickoff return. (Iyah Blewitt kick),6,21
8,3,TD,5:56,Denzel Diaz 3 yd run. (Iyah Blewitt kick),6,28
9,3,FG,3:31,47 yd FG by Iyah Blewitt,6,31
10,3,TD,0:00,Viggo (R) Squanch 11 yd pass from King Bronko. (Dean Jackson kick),13,31
12,4,TD,10:26,Charles Arthur Chess 2 yd pass from King Bronko. (Dean Jackson kick),20,31
13,4,FG,0:00,35 yd FG by Iyah Blewitt,20,34
