,Q,Score Type,Time Remaining,Play,HON,AUS
1,1,TD,10:16,Zoe Watts (R) 2 yd run. (Pseudo QB (R) kick),0,7
2,1,FG,6:14,22 yd FG by Venus Powers,3,7
4,2,TD,7:02,Eddie Jeeta 14 yd pass from Easton Cole (C). (Pseudo QB (R) kick),3,14
5,2,TD,3:22,Ke'oke'o Kane-Maika'i 1 yd run. (Venus Powers kick),10,14
7,3,TD,9:59,Friedrich Vequain (R) 5 yd pass from Easton Cole (C). (Pseudo QB (R) kick),10,21
8,3,FG,7:57,38 yd FG by Venus Powers,13,21
9,3,TD,5:13,Tre'Darius J'Vathon (R) 9 yd pass from Luke Skywalker (C). (Venus Powers kick),20,21
11,4,FG,11:26,39 yd FG by Venus Powers,23,21
12,4,TD,7:44,Zoe Watts (R) 1 yd run. (Pseudo QB (R) kick),23,28
13,4,TD,1:17,Zoe Watts (R) 5 yd run. (Pseudo QB (R) kick),23,35
