,Q,Score Type,Time Remaining,Play,OCO,AZ
1,1,FG,10:40,46 yd FG by Spencer Lawes,0,3
2,1,FG,1:24,52 yd FG by Alex Dasistwirklichseinnachname,3,3
4,2,TD,13:31,None Sunnycursed 20 yd pass from Franklin Armstrong (R). (Alex Dasistwirklichseinnachname kick),10,3
5,2,FG,7:01,35 yd FG by Spencer Lawes,10,6
6,2,FG,1:21,48 yd FG by Alex Dasistwirklichseinnachname,13,6
8,3,FG,11:55,31 yd FG by Spencer Lawes,13,9
9,3,FG,5:13,45 yd FG by Spencer Lawes,13,12
10,3,TD,2:50,None Sunnycursed 20 yd pass from Franklin Armstrong (R). (Alex Dasistwirklichseinnachname kick),20,12
12,4,TD,12:38,Vinny Valentine 16 yd pass from Andrew Reese. (2pt conversion good),20,20
13,4,FG,6:26,34 yd FG by Spencer Lawes,20,23
