,Q,Score Type,Time Remaining,Play,BAL,CHI
1,1,FG,11:02,46 yd FG by Sam Sidekick,0,3
2,1,TD,5:20,Osiris Firestorm-Fjord 50 yd punt return. (Sam Sidekick kick),0,10
3,1,TD,2:29,Joshua Campbell (R) 12 yd pass from Chika Fujiwara (C). (Datsum PhastBawls kick),7,10
5,2,TD,8:37,Joshua Campbell (R) 6 yd pass from Chika Fujiwara (C). (Datsum PhastBawls kick),14,10
6,2,TD,5:40,Julio Tirtawidjaja 8 yd run. (Sam Sidekick kick),14,17
7,2,FG,3:10,23 yd FG by Sam Sidekick,14,20
9,3,TD,3:31,Doug Howlett (R) 10 yd pass from Chika Fujiwara (C). (Datsum PhastBawls kick),21,20
10,3,TD,0:06,Bender B. Rodriguez 12 yd pass from George O'Donnell. (Sam Sidekick kick),21,27
12,4,TD,5:54,Julio Tirtawidjaja 5 yd run. (Sam Sidekick kick),21,34
13,4,TD,1:11,Luca Scabbia 5 yd pass from George O'Donnell. (Sam Sidekick kick),21,41
