Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Grievous, L.",OCO,11,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Brown, M.",OCO,9,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Ramsey Jr., G.",OCO,8,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Hobbs, S.",OCO,6,0,0,0/0,1,1,0,0,"[0, 0, 0]"
"Salami, T.",OCO,6,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Ginsberg, D.",OCO,5,0,1,0/0,1,1,0,1,"[0, 0, 0]"
"Schneider, D.",OCO,4,0,0,0/0,2,1,0,0,"[0, 0, 0]"
"Skarsgard, T.",OCO,3,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Gott, J.",OCO,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Lattimer, A.",OCO,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Rice, J.",OCO,2,0,0,0/0,3,0,0,0,"[0, 0, 0]"
"Reed, A.",OCO,0,0,0,0/1,0,0,0,0,"[0, 0, 0]"
"Slothface, J.",NO,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Arnold, D.",NO,5,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Harrison, W.",NO,5,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Williams VII, S.",NO,5,0,0,1/0,3,0,0,0,"[0, 0, 0]"
"Earl, B.",NO,4,1,0,0/0,1,0,0,0,"[0, 0, 0]"
"Bode, Q.",NO,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Taylor, D.",NO,3,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Townsend, F.",NO,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Harris, B.",NO,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Jefferson IV, J.",NO,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Rax, L.",NO,1,1,0,0/0,0,0,0,0,"[0, 0, 0]"
