Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Thompson, P.",OCO,1,10,7,0
"Johns, A.",OCO,1,8,5,0
"Brown, M.",OCO,1,15,0,0
"Ramsey Jr., G.",OCO,1,10,0,0
"Rice, J.",OCO,1,5,0,0
"Skarsgard, T.",OCO,1,5,0,0
"Harrison, H.",OCO,0,0,4,0
"Stennet, J.",OCO,0,0,4,0
"Blaze, J.",OCO,0,0,1,0
"Pitcher, A.",OCO,0,0,1,0
"Gump, F.",NO,2,20,2,0
"Halvorsen, T.",NO,2,7,0,0
"Arnold, D.",NO,1,5,0,0
"Francisco, S.",NO,1,10,0,0
"Harrison, W.",NO,1,15,0,0
"Sno, F.",NO,0,0,9,0
"Watyumaidmedu, L.",NO,0,0,8,1
"Belongwithme, H.",NO,0,0,6,0
"Sackless, S.",NO,0,0,4,0
"Swift, T.",NO,0,0,2,1
"Spais, B.",NO,0,0,2,0
