,Q,Score Type,Time Remaining,Play,CHI,BAL
1,1,TD,2:59,Mai Fukushu 2 yd run. (Datsum PhastBawls kick),0,7
3,2,FG,10:37,19 yd FG by Sam Sidekick,3,7
4,2,TD,4:48,Mai Fukushu 4 yd run. (Datsum PhastBawls kick),3,14
5,2,TD,2:25,Doug Howlett (R) 41 yd pass from Chika Fujiwara (C). (Datsum PhastBawls kick),3,21
6,2,FG,0:15,53 yd FG by Sam Sidekick,6,21
8,3,FG,8:55,29 yd FG by Datsum PhastBawls,6,24
10,4,FG,14:40,39 yd FG by Datsum PhastBawls,6,27
11,4,FG,7:58,25 yd FG by Sam Sidekick,9,27
12,4,FG,4:49,45 yd FG by Datsum PhastBawls,9,30
13,4,TD,1:28,Bender B. Rodriguez 8 yd pass from George O'Donnell. (Sam Sidekick kick),16,30
