Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Foster, J.",OCO,1,5,2,0,9,4
"Petrakis, A.",OCO,1,5,0,0,9,4
"Roto, R.",OCO,0,0,7,0,9,4
"O'Sullivan, S.",OCO,0,0,5,0,9,4
"Womack, C.",OCO,0,0,4,2,9,4
"Farva, R.",OCO,0,0,4,0,9,4
"Ramathorn, A.",OCO,0,0,3,0,9,4
"Burnsman, E.",OCO,0,0,1,0,9,4
"Tacktheritrix, J.",SJS,1,5,4,0,9,4
"McKoutchie, M.",SJS,1,5,2,0,9,4
"Chambers III, C.",SJS,1,5,0,0,9,4
"Lewith, T.",SJS,1,3,0,0,9,4
"Bottles, B.",SJS,0,0,2,0,9,4
"Rucker, F.",SJS,0,0,2,0,9,4
"Probincrux III, D.",SJS,0,0,1,1,9,4
"Yates, J.",SJS,0,0,1,1,9,4
"Tech, G.",SJS,0,0,1,0,9,4
