,Q,Score Type,Time Remaining,Play,PHI,CHI
1,1,TD,7:09,Sam Torenson (R) 6 yd run. (Kulture Fulture kick),0,7
2,1,TD,5:56,Sam Torenson (R) 1 yd run. (Kulture Fulture kick),0,14
3,1,TD,2:51,Marquise Brown 3 yd run. (Roderick Castleberry kick),7,14
5,2,TD,14:42,Sam Torenson (R) 6 yd run. (Kulture Fulture kick),7,21
6,2,FG,0:23,38 yd FG by Kulture Fulture,7,24
8,3,TD,9:15,Aksel Danielsson 6 yd run. (Kulture Fulture kick),7,31
9,3,TD,6:03,Guy Nikko 29 yd interception return. (Kulture Fulture kick),7,38
10,3,FG,4:05,46 yd FG by Roderick Castleberry,10,38
12,4,TD,13:40,Jordan von Matt 9 yd pass from Adriana Falconi. (Roderick Castleberry kick),17,38
13,4,TD,8:33,Kazimir Oles 23 yd pass from Rose Jenkins. (Kulture Fulture kick),17,45
14,4,FG,5:27,44 yd FG by Roderick Castleberry,20,45
