Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"Jones, S.",BER,10,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Blanco, B.",BER,8,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"McCringleberry, H.",BER,6,0,1,2/0,1,0,0,0,0/0/0,0,0,0,0,8,25
"Richards, E.",BER,5,0,1,0/0,1,0,0,0,0/0/0,0,0,0,0,8,25
"Miller II, C.",BER,4,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Quinn, A.",BER,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Schell, A.",BER,4,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,8,25
"VonPebbles, M.",BER,4,3,1,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Krause, M.",BER,3,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,8,25
"Vassallo, S.",BER,3,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Steel, H.",BER,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Fisher, G.",SJS,13,0,0,1/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Hilliard, R.",SJS,11,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Brackenridge, T.",SJS,10,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Stein, P.",SJS,8,0,0,0/1,0,0,0,0,0/0/0,1,0,0,0,8,25
"Lanier, B.",SJS,7,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Crowder, R.",SJS,6,3,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"PickSix, H.",SJS,6,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Vaughne, R.",SJS,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Allen, O.",SJS,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Bass, L.",SJS,4,2,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Cloudera, Y.",SJS,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,8,25
"Johnson, R.",SJS,0,0,0,0/1,0,0,0,0,0/0/0,1,0,0,0,8,25
"Lackson, J.",SJS,0,0,0,0/1,0,0,0,0,0/0/0,1,0,0,0,8,25
