Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Cash Jr., S.",BER,5,52,10.4,18,0,8,25
"Matthews, D.",BER,4,43,10.8,19,0,8,25
"Petrongolo, J.",BER,3,38,12.7,21,0,8,25
"Skiuuup, C.",BER,3,13,4.3,6,0,8,25
"Boyd, C.",BER,1,13,13,13,0,8,25
"King, D.",BER,1,12,12,12,0,8,25
"Cooper, T.",BER,1,3,3,3,0,8,25
"Hood, T.",SJS,4,77,19.2,37,0,8,25
"Thomas-Fox, D.",SJS,4,39,9.8,11,1,8,25
"Swift, N.",SJS,4,30,7.5,11,0,8,25
"George, D.",SJS,4,27,6.8,15,0,8,25
"Cardrissian, R.",SJS,1,21,21,21,0,8,25
"Lackson, J.",SJS,1,5,5,5,0,8,25
