,Q,Score Type,Time Remaining,Play,AUS,OCO
1,1,TD,7:54,Apollo Reed 2 yd run. (Alex Dasistwirklichseinnachname kick),0,7
2,1,FG,3:34,44 yd FG by Alex Dasistwirklichseinnachname,0,10
3,1,TD,0:00,Django Anoa'i 19 yd pass from Easton Cole (R). (Alfredo Crisco kick),7,10
6,3,TD,12:15,Vinny Valentine 13 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),7,17
7,3,TD,5:40,None Sunnycursed 6 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),7,24
9,4,FG,13:34,33 yd FG by Alfredo Crisco,10,24
10,4,TD,11:58,Vinny Valentine 30 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),10,31
11,4,TD,9:13,Apollo Reed 1 yd run. (Alex Dasistwirklichseinnachname kick),10,38
12,4,TD,5:05,None Sunnycursed 43 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),10,45
13,4,TD,3:12,Vinny Valentine 1 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),10,52
