,Q,Score Type,Time Remaining,Play,NO,AZ
1,1,TD,10:57,Blessed Storm 15 yd pass from Borkus Maximus III. (Beat Meoff kick),7,0
2,1,TD,6:50,Balthazar Crindy 8 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),7,7
3,1,FG,2:52,43 yd FG by Beat Meoff,10,7
5,2,TD,14:33,Trey Willie 6 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),10,14
6,2,TD,12:20,Vladimir Fyodorovich 5 yd pass from Borkus Maximus III. (Beat Meoff kick),17,14
7,2,TD,7:40,Thjalfi (R) Halvorsen 13 yd pass from Borkus Maximus III. (Beat Meoff kick),24,14
8,2,TD,3:43,Balthazar Crindy 10 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),24,21
9,2,FG,0:43,28 yd FG by Beat Meoff,27,21
11,3,FG,9:42,40 yd FG by Dean Jackson,27,24
12,3,TD,1:49,Slim (R) Shady 2 yd run. (Dean Jackson kick),27,31
14,4,TD,9:23,Viggo Squanch 35 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),27,38
15,4,TD,4:13,Vladimir Fyodorovich 8 yd pass from Borkus Maximus III. (2pt conversion failed),33,38
