,Q,Score Type,Time Remaining,Play,BAL,PHI
1,1,FG,11:40,40 yd FG by Turk Turkleton,3,0
2,1,FG,8:26,26 yd FG by Stephen Harris,3,3
3,1,FG,3:40,26 yd FG by Stephen Harris,3,6
5,2,FG,3:51,42 yd FG by Turk Turkleton,6,6
6,2,FG,0:06,40 yd FG by Stephen Harris,6,9
8,3,TD,13:00,Paul DiMirio 12 yd pass from Tyler Oles. (Stephen Harris kick),6,16
9,3,TD,5:09,Fox North 7 yd pass from Tyler Oles. (Stephen Harris kick),6,23
10,3,TD,1:26,Alexandre LeClair 7 yd pass from Avon Blocksdale. (Turk Turkleton kick),13,23
11,3,TD,0:00,Trey Willie 35 yd pass from Avon Blocksdale. (Turk Turkleton kick),20,23
13,4,TD,4:10,Josh Garden 27 yd pass from Tyler Oles. (Stephen Harris kick),20,30
