,Q,Score Type,Time Remaining,Play,BER,NY
1,1,TD,11:22,Asher Quinn 39 yd interception return. (Karmichael Hunt kick),7,0
2,1,TD,11:02,Ashley Owens 107 yd kickoff return. (Dougie Smalls kick),7,7
3,1,FG,4:30,46 yd FG by Karmichael Hunt,10,7
5,2,FG,7:32,24 yd FG by Karmichael Hunt,13,7
6,2,TD,1:57,Sean Snyder (R) 8 yd pass from Sam Howitzer (R) (C). (Dougie Smalls kick),13,14
8,3,TD,8:52,Jackson Kingston 3 yd pass from Sam Howitzer (R) (C). (Dougie Smalls XP no good),13,20
9,3,TD,0:16,Dre Matthews (R) 20 yd pass from Nick Kaepercolin. (Karmichael Hunt kick),20,20
11,4,TD,8:08,Joseph Petrongolo 3 yd run. (Karmichael Hunt kick),27,20
12,4,TD,4:14,Hank Winchester (R) 23 yd interception return. (Dougie Smalls kick),27,27
13,4,FG,0:41,33 yd FG by Karmichael Hunt,30,27
