,Q,Score Type,Time Remaining,Play,SAR,CHI
1,1,TD,11:44,Running Back 1 yd run. (Jacob Small kick),7,0
2,1,FG,9:08,38 yd FG by Sam Sidekick,7,3
3,1,TD,5:45,Running Back 2 yd run. (Jacob Small kick),14,3
4,1,FG,1:11,18 yd FG by Sam Sidekick,14,6
6,2,FG,8:14,42 yd FG by Jacob Small,17,6
7,2,SF,5:33,George O'Donnell tackled for a safety.,19,6
9,3,TD,9:07,Dexter Banks II 7 yd run. (Jacob Small kick),26,6
10,3,TD,3:18,Clark Boyd 19 yd pass from Dexter Banks II. (Jacob Small kick),33,6
12,4,TD,11:40,Julio Tirtawidjaja 1 yd run. (Sam Sidekick kick),33,13
13,4,TD,3:46,Raphtalia Chan 2 yd pass from Dexter Banks II. (Jacob Small kick),40,13
14,4,TD,1:42,Raphtalia Chan 7 yd pass from Dexter Banks II. (Jacob Small kick),47,13
