Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"O'Leary, S.",CHI,9,106,11.8,33,0,16,24
"Rodriguez, B.",CHI,4,76,19,25,0,16,24
"Tirtawidjaja, J.",CHI,4,30,7.5,12,0,16,24
"Gelbman, T.",CHI,4,27,6.8,10,0,16,24
"Scabbia, L.",CHI,3,39,13,19,0,16,24
"Yoda, B.",CHI,1,16,16,16,0,16,24
"Oberwald, G.",CHI,1,4,4,4,0,16,24
"Hayes, V.",CHI,1,3,3,3,0,16,24
"Angler, J.",SAR,7,125,17.9,44,0,16,24
"Chan, R.",SAR,6,64,10.7,28,2,16,24
"Gordon, R.",SAR,5,120,24,61,0,16,24
"Witheblock, M.",SAR,5,59,11.8,30,0,16,24
"Boyd, C.",SAR,3,42,14,19,1,16,24
