Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Savea, A.",NO,1,5,1,0
"LeClair, A.",NO,1,5,0,0
"Roll, J.",NO,0,0,7,1
"Ory, K.",NO,0,0,7,0
"DiMirio, P.",NO,0,0,6,0
"Bolden, B.",NO,0,0,4,0
"Armstrong, L.",NO,0,0,2,0
"Ruffins, K.",NO,0,0,2,0
"Smallwood, D.",NO,0,0,0,1
"Steve, R.",YKW,2,11,0,0
"Pooky, S.",YKW,1,5,4,0
"Rchon, A.",YKW,1,15,3,1
"Atwell, T.",YKW,1,5,0,0
"Maddox, R.",YKW,1,5,0,0
"Rainey, R.",YKW,1,5,0,0
"Rodriguez, G.",YKW,1,5,0,0
"Mushing, M.",YKW,0,0,5,3
"Amper, T.",YKW,0,0,3,1
"Ones, B.",YKW,0,0,3,0
"Harris Jr., F.",YKW,0,0,1,0
"McPoyal, G.",YKW,0,0,1,0
