,Q,Score Type,Time Remaining,Play,YKW,NO
1,1,TD,12:54,Boss Tweed 39 yd interception return. (None Forfeit kick),7,0
2,1,TD,9:05,Darren Smallwood 2 yd run. (Peg Leg kick),7,7
3,1,TD,0:51,Charlie Law 4 yd pass from Borkus Maximus III. (Peg Leg kick),7,14
5,2,FG,9:25,32 yd FG by None Forfeit,10,14
6,2,TD,0:08,Franklin Harris Jr. 1 yd pass from Brad Pennington. (None Forfeit kick),17,14
8,3,FG,10:55,45 yd FG by Peg Leg,17,17
9,3,FG,7:18,37 yd FG by None Forfeit,20,17
10,3,TD,0:00,Eric Kennedy 14 yd pass from Brad Pennington. (None Forfeit kick),27,17
12,4,FG,7:41,21 yd FG by Peg Leg,27,20
13,4,TD,2:29,Alexandre LeClair 9 yd pass from Borkus Maximus III. (Peg Leg kick),27,27
14,4,FG,0:13,41 yd FG by Peg Leg,27,30
