,Q,Score Type,Time Remaining,Play,OCO,AZ
1,1,TD,12:04,Apollo Reed 4 yd run. (Alex Dasistwirklichseinnachname kick),7,0
2,1,FG,5:56,39 yd FG by Alex Dasistwirklichseinnachname,10,0
4,2,TD,6:42,Jammerson Irving 12 yd pass from Andrew Reese. (Alex Frost kick),10,7
6,3,TD,11:25,Slim Shady 2 yd run. (Alex Dasistwirklichseinnachname kick),17,7
7,3,FG,7:22,30 yd FG by Alex Dasistwirklichseinnachname,20,7
8,3,TD,4:25,Ruff Ruff (R) 1 yd run. (Alex Frost kick),20,14
9,3,TD,0:00,Franklin Armstrong 61 yd run. (Alex Dasistwirklichseinnachname kick),27,14
11,4,TD,14:29,Jammerson Irving 1 yd pass from Andrew Reese. (Alex Frost kick),27,21
12,4,FG,7:17,33 yd FG by Alex Dasistwirklichseinnachname,30,21
13,4,FG,3:20,45 yd FG by Alex Dasistwirklichseinnachname,33,21
