Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Unk, J.",AZ,1,10,5,0,5,19
"Rash, T.",AZ,0,0,4,0,5,19
"Block, T.",AZ,0,0,3,0,5,19
"Irving, J.",AZ,0,0,3,0,5,19
"Aste, W.",AZ,0,0,2,1,5,19
"Arbage, G.",AZ,0,0,0,1,5,19
"Wokkenfuss, G.",OCO,2,10,5,0,5,19
"Johns, A.",OCO,1,5,6,0,5,19
"Tony, P.",OCO,1,5,5,0,5,19
"Banks II, D.",OCO,1,10,0,0,5,19
"Biggums, T.",OCO,1,5,0,0,5,19
"Lazer-Eyes, G.",OCO,1,5,0,0,5,19
"Harrison, H.",OCO,0,0,5,1,5,19
"Pak, Y.",OCO,0,0,4,0,5,19
"Reed, A.",OCO,0,0,2,0,5,19
"Pitcher, A.",OCO,0,0,1,0,5,19
