Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Ishigawa, H.",COL,9,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Tillman, M.",COL,7,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Danger, D.",COL,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Ruckus, B.",COL,6,0,1,1/1,0,0,0,0,"[0, 0, 0]"
"Saint, J.",COL,5,0,1,0/0,1,0,0,0,"[0, 0, 0]"
"Sandoval, R.",COL,5,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"LeFevre, R.",COL,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Pierno, N.",COL,3,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Bly Jr., A.",COL,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Gustavsson, E.",COL,2,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Sandoval, A.",COL,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Roenick, A.",BAL,13,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Goodson, N.",BAL,8,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Turner, D.",BAL,7,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Kyubee, S.",BAL,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Valentine, V.",BAL,6,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Delacour, A.",BAL,5,0,0,0/0,2,1,0,0,"[0, 0, 0]"
"Broadway, E.",BAL,2,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Fletcher, G.",BAL,2,0,0,0/0,1,1,0,0,"[0, 0, 0]"
"Harrison, S.",BAL,2,1,0,0/0,3,0,0,0,"[0, 0, 0]"
"Wojcik, B.",BAL,2,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Hendrix, K.",BAL,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
