,Q,Score Type,Time Remaining,Play,PHI,OCO
1,1,TD,10:35,Carlito Crush 6 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),0,7
2,1,TD,0:09,None (R) Sunnycursed 10 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),0,14
4,2,TD,8:56,Carter Bush 5 yd pass from Adriana Falconi. (Kulture Fulture kick),7,14
5,2,TD,0:31,Ricky Adams 4 yd run. (Adam Anderson kick),7,21
7,3,FG,7:25,22 yd FG by Adam Anderson,7,24
8,3,TD,3:29,Marquise Brown 1 yd run. (Kulture Fulture kick),14,24
10,4,FG,12:32,39 yd FG by Adam Anderson,14,27
11,4,FG,8:18,36 yd FG by Kulture Fulture,17,27
12,4,FG,5:18,40 yd FG by Kulture Fulture,20,27
13,4,TD,0:53,Ricky Adams 5 yd run. (Adam Anderson kick),20,34
