,Q,Score Type,Time Remaining,Play,BAL,SJS
1,1,TD,2:03,Owen Taylor 1 yd pass from Ryan Applehort. (Turk Turkleton kick),7,0
3,2,TD,13:40,Jerrod (R) Canton 5 yd run. (Kyle Corbett kick),7,7
4,2,TD,9:39,Trey Willie 3 yd pass from Ryan Applehort. (Turk Turkleton kick),14,7
5,2,FG,3:56,26 yd FG by Kyle Corbett,14,10
7,3,TD,8:26,Jerrod (R) Canton 1 yd run. (Kyle Corbett kick),14,17
8,3,TD,6:05,Verso L'Alto 20 yd pass from Ryan Applehort. (Turk Turkleton kick),21,17
9,3,TD,0:47,Jerrod (R) Canton 3 yd run. (Kyle Corbett kick),21,24
11,4,FG,10:33,24 yd FG by Turk Turkleton,24,24
12,4,FG,4:28,20 yd FG by Turk Turkleton,27,24
13,4,FG,0:00,33 yd FG by Turk Turkleton,30,24
