,Q,Score Type,Time Remaining,Play,YKW,BAL
1,1,FG,12:55,39 yd FG by Kicky Bobby (R),3,0
2,1,TD,4:57,Nate Swift 23 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),10,0
3,1,TD,0:59,Nate Swift 24 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),17,0
5,2,TD,14:42,Jaylen Storm 59 yd interception return. (Kicky Bobby (R) kick),24,0
6,2,FG,12:00,31 yd FG by ForThe Brand,24,3
7,2,FG,2:15,18 yd FG by ForThe Brand,24,6
9,3,TD,8:17,Ahri Espeeyeeseetee 5 yd pass from Corvo Havran. (ForThe Brand kick),24,13
10,3,TD,2:07,Vander Jones 1 yd run. (ForThe Brand kick),24,20
12,4,TD,10:58,None Sunnycursed 18 yd pass from Corvo Havran. (ForThe Brand kick),24,27
13,4,FG,6:27,35 yd FG by ForThe Brand,24,30
