Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Johns, A.",OCO,1,10,2,0
"Nakamura, T.",OCO,1,5,0,0
"Trunks, F.",OCO,1,5,0,0
"Pak, Y.",OCO,0,0,4,0
"Wokkenfuss, G.",OCO,0,0,3,0
"Bigby, L.",OCO,0,0,2,0
"Harrison, H.",OCO,0,0,2,0
"Iridian, G.",OCO,0,0,2,0
"Phillips, J.",OCO,0,0,2,0
"Irving, J.",OCO,0,0,1,0
"Dodggy, B.",SJS,1,10,4,0
"Drake, O.",SJS,1,5,0,0
"Staley, T.",SJS,1,10,0,0
"Johnson, R.",SJS,0,0,3,0
"Pest, T.",SJS,0,0,3,0
"Lee, B.",SJS,0,0,2,1
"Cardrissian, R.",SJS,0,0,2,0
"Pancake, P.",SJS,0,0,1,1
"McDavid, L.",SJS,0,0,1,0
"Tyerucker, Q.",SJS,0,0,1,0
