,Q,Score Type,Time Remaining,Play,AUS,NO
2,2,TD,5:05,Forrest Gump (R) 3 yd run. (Alex Frost kick),0,7
3,2,FG,4:34,24 yd FG by Alfredo Crisco,3,7
4,2,TD,0:52,Tyler Swift 9 yd run. (Alex Frost kick),3,14
6,3,TD,11:56,Vladimir Fyodorovich 12 yd pass from Stan Francisco. (Alex Frost kick),3,21
7,3,FG,8:40,29 yd FG by Alex Frost,3,24
8,3,TD,0:00,Django Anoa'i 14 yd pass from Easton Cole (R). (Alfredo Crisco kick),10,24
10,4,TD,10:55,Tyler Swift 4 yd run. (Alex Frost kick),10,31
11,4,TD,8:05,Thjalfi Halvorsen 3 yd pass from Stan Francisco. (Alex Frost XP no good),10,37
12,4,TD,3:28,Dick Wizardry 1 yd run. (Alfredo Crisco kick),17,37
13,4,TD,0:22,Tyler Swift 5 yd run. (Alex Frost kick),17,44
