,Q,Score Type,Time Remaining,Play,COL,NO
1,1,TD,13:37,Pete Parker (R) 19 yd interception return. (Stephen Harris Jr kick),7,0
2,1,TD,10:37,James Bishop 77 yd pass from Wolfie McDummy. (Stephen Harris Jr kick),14,0
3,1,TD,2:27,Forrest Gump 2 yd run. (Alex Frost kick),14,7
5,2,FG,12:30,35 yd FG by Alex Frost,14,10
6,2,FG,9:55,44 yd FG by Stephen Harris Jr,17,10
7,2,TD,5:11,Quentin Sinclair 57 yd interception return. (Stephen Harris Jr kick),24,10
9,3,FG,9:15,29 yd FG by Alex Frost,24,13
10,3,FG,4:59,47 yd FG by Stephen Harris Jr,27,13
11,3,TD,2:25,Bona'beri Jones 6 yd pass from Stan Francisco. (Alex Frost kick),27,20
13,4,FG,1:06,23 yd FG by Stephen Harris Jr,30,20
