,Q,Score Type,Time Remaining,Play,PHI,BAL
1,1,TD,8:37,Vinny Valentine 55 yd pass from Childish Gambino. (Alex Frost kick),0,7
2,1,TD,2:36,Marquise Brown 3 yd run. (Alex Frost kick),0,14
3,1,FG,0:56,39 yd FG by Kulture Fulture,3,14
5,2,TD,14:08,Jordan von Matt 12 yd pass from Adriana Falconi. (Kulture Fulture kick),10,14
6,2,FG,11:15,45 yd FG by Alex Frost,10,17
7,2,TD,4:44,Vinny Valentine 4 yd pass from Childish Gambino. (Alex Frost kick),10,24
9,3,TD,7:28,Marquise Brown 8 yd pass from Childish Gambino. (Alex Frost kick),10,31
10,3,TD,2:59,Howard Miller 6 yd pass from Childish Gambino. (Alex Frost kick),10,38
12,4,TD,13:47,Bucky Barnes 53 yd interception return. (Kulture Fulture kick),17,38
13,4,TD,9:47,Howard Miller 2 yd pass from Childish Gambino. (Alex Frost kick),17,45
14,4,TD,2:02,Errol Maddox 1 yd pass from Childish Gambino. (Alex Frost kick),17,52
