Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Brown, M.",BAL,9,52,5.8,12,1,14,14
"L'Alto, V.",BAL,5,50,10,17,0,14,14
"Valentine, V.",BAL,4,136,34,55,2,14,14
"Miller, H.",BAL,4,56,14,35,2,14,14
"Harp, D.",BAL,4,35,8.8,19,0,14,14
"Maddox, E.",BAL,3,32,10.7,25,1,14,14
"Squanch, V.",BAL,1,39,39,39,0,14,14
"von Matt, J.",PHI,6,102,17,37,1,14,14
"Bush, C.",PHI,5,65,13,25,0,14,14
"Batoff, R.",PHI,3,14,4.7,8,0,14,14
"Boija, F.",PHI,2,49,24.5,37,0,14,14
"Davenport, C.",PHI,2,28,14,27,0,14,14
"McCargue, B.",PHI,2,1,0.5,1,0,14,14
"Ansong, L.",PHI,1,5,5,5,0,14,14
