,Q,Score Type,Time Remaining,Play,OCO,NO
1,1,TD,14:45,Danny Grithead 103 yd kickoff return. (Alex Dasistwirklichseinnachname XP no good),6,0
2,1,TD,5:58,Aksel Danielsson 2 yd run. (Beat Meoff XP no good),6,6
3,1,FG,1:18,21 yd FG by Alex Dasistwirklichseinnachname,9,6
5,2,TD,12:00,Seer Zephyrous 6 yd run. (Alex Dasistwirklichseinnachname kick),16,6
6,2,TD,5:12,Vladimir Fyodorovich 9 yd pass from Borkus Maximus III. (Beat Meoff kick),16,13
8,3,TD,8:05,Aksel Danielsson 3 yd run. (Beat Meoff kick),16,20
9,3,FG,4:31,30 yd FG by Alex Dasistwirklichseinnachname,19,20
11,4,TD,12:55,Apollo Reed 6 yd run. (2pt conversion good),27,20
12,4,TD,5:05,Apollo Reed 1 yd run. (Alex Dasistwirklichseinnachname kick),34,20
13,4,TD,0:09,Vladimir Fyodorovich 36 yd pass from Borkus Maximus III. (Beat Meoff XP no good),34,26
