,Q,Score Type,Time Remaining,Play,AUS,NO
1,1,TD,10:38,Austin McCormick 25 yd pass from Stan Francisco. (Herbert Prohaska kick),0,7
2,1,TD,8:17,Takeda Okura 27 yd interception return. (Alfredo Crisco kick),7,7
3,1,FG,4:37,23 yd FG by Herbert Prohaska,7,10
4,1,FG,0:48,33 yd FG by Alfredo Crisco,10,10
6,2,FG,11:14,33 yd FG by Alfredo Crisco,13,10
7,2,FG,4:22,28 yd FG by Alfredo Crisco,16,10
9,3,TD,12:30,Forrest Gump 1 yd run. (Herbert Prohaska kick),16,17
10,3,FG,6:59,41 yd FG by Alfredo Crisco,19,17
11,3,TD,0:00,Forrest Gump 2 yd run. (Herbert Prohaska kick),19,24
13,4,TD,11:40,Forrest Gump 29 yd pass from Stan Francisco. (Herbert Prohaska kick),19,31
14,4,FG,6:47,46 yd FG by Herbert Prohaska,19,34
15,4,TD,3:21,Net Gaines 22 yd pass from Easton Cole. (Alfredo Crisco kick),26,34
