Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Van Buren, M.",PHI,1,5,3,0,12,9
"Tyler, J.",PHI,1,5,2,4,12,9
"Nyquist, W.",PHI,1,5,2,1,12,9
"Hayden, A.",PHI,1,5,0,0,12,9
"Verns, D.",PHI,1,5,0,0,12,9
"Hayes, R.",PHI,0,0,7,0,12,9
"Filmore, M.",PHI,0,0,4,1,12,9
"Arthur, C.",PHI,0,0,3,3,12,9
"O'Sullivan, S.",PHI,0,0,1,0,12,9
"Farlane, D.",PHI,0,0,0,1,12,9
"Down, D.",COL,1,10,5,2,12,9
"Applehort, R.",COL,1,10,0,0,12,9
"Grau, M.",COL,1,4,0,0,12,9
"Ramero, R.",COL,1,5,0,0,12,9
"Vibrations, F.",COL,0,0,7,0,12,9
"Knuckler, B.",COL,0,0,3,0,12,9
"Bastard, F.",COL,0,0,2,0,12,9
"Windchesthair, A.",COL,0,0,2,0,12,9
"Chipmunk, A.",COL,0,0,1,0,12,9
