,Q,Score Type,Time Remaining,Play,YKW,COL
1,1,TD,10:59,Laszlo Forty-Two 15 yd pass from Wolfie McDummy. (Silver Banana (R) kick),0,7
2,1,TD,5:57,Nate Swift 23 yd pass from Cooter Bigsby. (Dougie Smalls (R) kick),7,7
3,1,TD,2:29,Michael Vincent 3 yd pass from Wolfie McDummy. (Silver Banana (R) kick),7,14
5,2,TD,5:52,James Bishop 41 yd pass from Wolfie McDummy. (Silver Banana (R) kick),7,21
6,2,FG,2:22,21 yd FG by Dougie Smalls (R),10,21
8,3,FG,10:23,44 yd FG by Silver Banana (R),10,24
9,3,TD,6:07,Bender B. Rodriguez 5 yd pass from Cooter Bigsby. (Dougie Smalls (R) kick),17,24
11,4,TD,8:44,Ashley Owens 57 yd punt return. (Silver Banana (R) kick),17,31
12,4,FG,1:23,26 yd FG by Silver Banana (R),17,34
13,4,TD,0:00,Bender B. Rodriguez 36 yd pass from Cooter Bigsby. (Dougie Smalls (R) kick),24,34
