Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Hardwick, S.",AUS,4,77,19.2,30,0,4,16
"Tidwell, R.",AUS,3,40,13.3,25,1,4,16
"Wizardry, D.",AUS,3,26,8.7,15,1,4,16
"Anoa'i, D.",AUS,2,47,23.5,25,0,4,16
"Mendonca, M.",AUS,1,5,5,5,0,4,16
"Larson, P.",AUS,1,4,4,4,0,4,16
"Flash, X.",SJS,6,87,14.5,43,1,4,16
"Olsen, C.",SJS,6,53,8.8,19,1,4,16
"Espeeyeeseetee, A.",SJS,5,93,18.6,34,1,4,16
"Orosz, C.",SJS,3,27,9,20,0,4,16
"Wright, D.",SJS,2,21,10.5,11,0,4,16
"Davenport, C.",SJS,2,8,4,4,0,4,16
"Justice, T.",SJS,1,7,7,7,0,4,16
