,Q,Score Type,Time Remaining,Play,COL,YKW
1,1,TD,10:44,None Sunnycursed 9 yd pass from Cooter Bigsby. (Neo Donaldson kick),0,7
2,1,FG,6:15,21 yd FG by Stephen Harris Jr,3,7
3,1,TD,0:37,None Sunnycursed 6 yd pass from Cooter Bigsby. (Neo Donaldson XP no good),3,13
5,2,TD,11:25,Nate Swift 41 yd pass from Cooter Bigsby. (Neo Donaldson kick),3,20
6,2,TD,1:40,Armor King 3 yd pass from Wolfie McDummy. (Stephen Harris Jr kick),10,20
8,3,TD,5:16,Nate Swift 46 yd pass from Cooter Bigsby. (Neo Donaldson kick),10,27
9,3,TD,1:56,Ashley Owens 7 yd pass from Wolfie McDummy. (Stephen Harris Jr kick),17,27
11,4,FG,14:42,27 yd FG by Neo Donaldson,17,30
12,4,TD,10:58,Laszlo Forty-Two 1 yd pass from Wolfie McDummy. (Stephen Harris Jr XP no good),23,30
13,4,FG,8:58,37 yd FG by Stephen Harris Jr,26,30
14,4,TD,4:14,Mathias Hanyadi (R) 4 yd pass from Cooter Bigsby. (Neo Donaldson kick),26,37
15,4,TD,0:00,Ashley Owens 3 yd pass from Wolfie McDummy. (2pt conversion failed),32,37
