,Q,Score Type,Time Remaining,Play,CHI,YKW
1,1,TD,9:34,Mathias Hanyadi 4 yd run. (Dougie Smalls kick),0,7
2,1,TD,3:40,Acura Skyline 2 yd run. (Dougie Smalls kick),0,14
4,2,FG,12:10,28 yd FG by Dougie Smalls,0,17
5,2,TD,9:15,Action Jackson 2 yd pass from Cooter Bigsby. (Dougie Smalls kick),0,24
6,2,TD,1:27,Action Jackson 28 yd pass from Cooter Bigsby. (Dougie Smalls kick),0,31
8,3,FG,10:57,33 yd FG by Dougie Smalls,0,34
9,3,TD,2:27,Mathias Hanyadi 3 yd run. (Dougie Smalls kick),0,41
11,4,FG,15:00,43 yd FG by Dougie Smalls,0,44
12,4,TD,11:56,Mathias Hanyadi 72 yd punt return. (Dougie Smalls kick),0,51
13,4,FG,9:25,28 yd FG by Dougie Smalls,0,54
