,Q,Score Type,Time Remaining,Play,OCO,YKW
1,1,FG,10:24,40 yd FG by None Forfeit,0,3
2,1,TD,7:04,Carlito Crush 6 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),7,3
3,1,TD,0:36,Thomas Carrasco 3 yd run. (None Forfeit kick),7,10
5,2,FG,12:14,34 yd FG by Adam Anderson,10,10
6,2,TD,7:02,Dick Wizardry 12 yd pass from Ryan Applehort. (None Forfeit kick),10,17
7,2,FG,4:34,39 yd FG by None Forfeit,10,20
8,2,TD,1:00,Tegan Atwell 5 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),17,20
10,3,FG,9:25,24 yd FG by None Forfeit,17,23
11,3,FG,3:52,30 yd FG by None Forfeit,17,26
13,4,TD,12:11,Adrian Pitcher 14 yd pass from Ryan Applehort. (None Forfeit kick),17,33
