Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"McCormick, A.",NO,5,67,13.4,27,0,9,25
"Barker, E.",NO,5,48,9.6,12,0,9,25
"Bodenhamer, B.",NO,4,66,16.5,30,0,9,25
"Gump, F.",NO,3,42,14,25,0,9,25
"Toriki, M.",NO,3,14,4.7,6,0,9,25
"Wolfcastle, R.",NO,2,7,3.5,4,0,9,25
"Spencer, A.",NO,1,10,10,10,0,9,25
"Lim, W.",COL,4,83,20.8,27,1,9,25
"Sauce, E.",COL,4,45,11.2,23,0,9,25
"Batista, D.",COL,3,18,6,11,0,9,25
"Jenkins, L.",COL,2,16,8,12,1,9,25
"Williams, D.",COL,2,16,8,8,0,9,25
"Gilbert, R.",COL,2,1,0.5,1,0,9,25
