Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Lee, L.",AZ,9,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"McKinnie, L.",AZ,7,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Mack, M.",AZ,5,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Barnes, B.",AZ,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Mughes, H.",AZ,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Knight, L.",AZ,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Morris, R.",AZ,2,0,0,1/0,0,0,0,0,"[0, 0, 0]"
"Spector, M.",AZ,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Marchand, J.",AZ,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Vans, R.",AZ,1,0,1,0/0,1,0,0,0,"[0, 0, 0]"
"Woodham, A.",AZ,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"D'Attoria V, R.",PHI,17,0,0,0/0,1,1,0,1,"[0, 0, 0]"
"Hardshaft, R.",PHI,12,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Cox III, J.",PHI,8,0,0,0/0,5,1,0,0,"[0, 0, 0]"
"Bohne, D.",PHI,7,0,1,0/0,0,0,0,0,"[1, 0, 0]"
"Smyles, L.",PHI,6,3,0,0/0,0,0,0,0,"[0, 0, 0]"
"Emoji, E.",PHI,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Verden, J.",PHI,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Garnett, L.",PHI,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"McGwire, A.",PHI,3,1,2,0/0,0,0,0,0,"[0, 0, 0]"
"Thomas, S.",PHI,3,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Arthur, C.",PHI,0,0,0,0/1,0,0,0,0,"[0, 0, 0]"
