,Q,Score Type,Time Remaining,Play,AZ,HON
1,1,FG,11:47,41 yd FG by J.J. Jay-Jaymison,3,0
2,1,FG,7:47,40 yd FG by Venus Powers,3,3
4,2,TD,11:30,Gunner Thorbjornsson (R) 4 yd run. (J.J. Jay-Jaymison kick),10,3
5,2,FG,7:51,25 yd FG by Venus Powers,10,6
6,2,TD,5:29,Rigby Raccoon (R) 7 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),17,6
8,3,TD,5:27,Heath Evans 6 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),24,6
9,3,TD,5:02,Tayshawn Crunk (R) 27 yd interception return. (J.J. Jay-Jaymison kick),31,6
10,3,TD,1:02,Ragnar Krashwagen (R) 22 yd pass from Luke Skywalker (C). (Venus Powers kick),31,13
11,3,TD,0:00,Saba Donut 51 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),38,13
13,4,FG,12:05,21 yd FG by Venus Powers,38,16
14,4,FG,5:47,33 yd FG by J.J. Jay-Jaymison,41,16
15,4,TD,1:46,Luke Skywalker (C) 7 yd run. (Venus Powers kick),41,23
