Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Gordon, R.",YKW,2,20,0,0
"Drake, O.",YKW,1,5,3,0
"Rchonsucks, A.",YKW,1,5,2,0
"Mushing, M.",YKW,0,0,8,0
"Ones, B.",YKW,0,0,5,0
"Pooky, S.",YKW,0,0,5,0
"Amper, T.",YKW,0,0,3,0
"Hanyadi, M.",YKW,0,0,2,0
"Howyanow, W.",PHI,1,15,0,0
"McGwire, A.",PHI,1,5,0,0
"Arthur, C.",PHI,0,0,3,0
"Hayes, R.",PHI,0,0,3,0
"Tyler, J.",PHI,0,0,3,0
"Van Buren, M.",PHI,0,0,3,0
"Dotson, F.",PHI,0,0,2,0
"Hank, F.",PHI,0,0,2,0
"Blocksdale Jr., A.",PHI,0,0,1,0
"Fillmore, M.",PHI,0,0,1,0
