,Q,Score Type,Time Remaining,Play,NO,OCO
1,1,FG,11:25,23 yd FG by Alex Frost,3,0
2,1,TD,8:57,Apollo Reed 1 yd run. (Alex Dasistwirklichseinnachname kick),3,7
4,2,TD,14:08,Johnny Blaze 6 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),3,14
5,2,FG,10:44,43 yd FG by Alex Dasistwirklichseinnachname,3,17
6,2,FG,3:12,43 yd FG by Alex Dasistwirklichseinnachname,3,20
7,2,FG,1:16,36 yd FG by Alex Frost,6,20
8,2,FG,0:15,40 yd FG by Alex Dasistwirklichseinnachname,6,23
10,3,TD,14:42,None Sunnycursed 99 yd kickoff return. (Alex Dasistwirklichseinnachname kick),6,30
11,3,TD,10:01,Johnny Blaze 8 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),6,37
12,3,FG,5:38,26 yd FG by Alex Frost,9,37
13,3,FG,3:09,24 yd FG by Alex Dasistwirklichseinnachname,9,40
14,3,TD,0:00,Vinny Valentine 1 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),9,47
16,4,TD,8:41,None Sunnycursed 15 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),9,54
17,4,FG,2:47,29 yd FG by Alex Dasistwirklichseinnachname,9,57
