,Q,Score Type,Time Remaining,Play,PHI,AZ
1,1,FG,11:56,25 yd FG by Stephen Harris,3,0
2,1,TD,7:40,Charles Arthur Chess 21 yd pass from King Bronko. (Dean Jackson XP no good),3,6
3,1,TD,0:30,Josh Garden 7 yd pass from Clifford Rove. (Stephen Harris kick),10,6
5,2,TD,12:47,Jogn Floggity 34 yd pass from King Bronko. (Dean Jackson kick),10,13
6,2,TD,8:06,Paul DiMirio 13 yd pass from Clifford Rove. (Stephen Harris kick),17,13
7,2,FG,0:08,33 yd FG by Dean Jackson,17,16
9,3,FG,12:42,35 yd FG by Dean Jackson,17,19
10,3,TD,6:32,Budda Browning 9 yd pass from King Bronko. (Dean Jackson kick),17,26
11,3,TD,0:00,Charles Arthur Chess 2 yd pass from King Bronko. (Dean Jackson kick),17,33
13,4,TD,10:25,Fox North 2 yd pass from Clifford Rove. (2pt conversion good),25,33
14,4,TD,3:11,Charlie Law 13 yd pass from King Bronko. (Dean Jackson kick),25,40
15,4,TD,0:00,Paul DiMirio 7 yd pass from Clifford Rove. (Stephen Harris kick),32,40
