Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Hockhertz, M.",CHI,15,0,0,0,0,0,0,1,0,0,0,0,4,23
"McCringleberry, H.",CHI,13,0,2,0,0,0,0,0,0,0,0,0,4,23
"Shields, T.",CHI,7,0,0,2,0,0,0,0,0,0,0,0,4,23
"Firestorm-Fjord, O.",CHI,6,0,0,1,0,0,0,0,0,0,0,0,4,23
"Vassallo, S.",CHI,6,0,0,0,0,0,0,0,0,0,0,0,4,23
"Oles JR, T.",CHI,5,0,0,1,1,0,0,0,0,0,0,0,4,23
"MacAndrew, H.",CHI,3,0,0,1,1,0,0,0,0,0,0,0,4,23
"VonPebbles, M.",CHI,3,2,0,0,0,0,0,0,0,0,0,0,4,23
"Works, S.",CHI,3,2,0,0,0,0,0,0,0,0,0,0,4,23
"Richards, E.",CHI,2,0,1,0,0,0,0,0,0,0,0,0,4,23
"Smirh, J.",CHI,2,0,0,0,0,0,0,0,0,0,0,0,4,23
"De Ville, D.",BAL,6,0,1,3,1,0,0,0,0,0,0,0,4,23
"Kennedy, D.",BAL,6,0,0,1,0,0,0,0,0,0,0,0,4,23
"Marston, J.",BAL,6,1,0,0,0,0,0,0,0,0,0,0,4,23
"Riley, C.",BAL,6,0,0,0,0,0,0,0,0,0,0,0,4,23
"Taffy, T.",BAL,5,4,0,0,0,0,0,1,1,0,0,0,4,23
"Annastesia, N.",BAL,4,0,1,0,0,0,0,0,0,0,0,0,4,23
"Avery, E.",BAL,4,0,0,0,0,0,0,0,0,0,0,0,4,23
"Hole, M.",BAL,4,2,0,0,0,0,0,0,0,0,0,0,4,23
"Stackinpaper, B.",BAL,3,0,0,0,0,0,0,0,0,0,0,0,4,23
"Green, W.",BAL,2,0,1,2,1,0,0,0,0,0,0,0,4,23
"Sinclair, Q.",BAL,2,1,0,0,0,0,0,0,0,0,0,0,4,23
"Bean, S.",BAL,1,0,0,0,0,0,0,0,0,0,0,0,4,23
"Nikko, G.",BAL,1,0,0,0,0,0,0,0,0,0,0,0,4,23
"Williams, D.",BAL,0,0,0,0,0,0,0,0,1,0,0,0,4,23
