Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Owens, A.",COL,4,19,4.8,9,0,13,23
"Lim, W.",COL,3,26,8.7,12,0,13,23
"Sauce, E.",COL,3,13,4.3,6,0,13,23
"Bishop, J.",COL,2,24,12,16,0,13,23
"Kingston, J.",COL,2,21,10.5,14,0,13,23
"Gilbert, R.",COL,1,25,25,25,0,13,23
"Vincent, M.",COL,1,10,10,10,0,13,23
"Quinn, A.",BAL,5,72,14.4,40,0,13,23
"Lewandowski, J.",BAL,4,22,5.5,10,1,13,23
"Skuff, R.",BAL,2,24,12,16,0,13,23
"Kaepercolin, N.",BAL,2,23,11.5,12,0,13,23
"Williams, D.",BAL,2,22,11,20,0,13,23
"Kross, C.",BAL,2,11,5.5,6,0,13,23
