,Q,Score Type,Time Remaining,Play,NO,OCO
1,1,TD,10:33,Seer Zephyrous 2 yd run. (Adam Anderson kick),0,7
2,1,TD,6:22,Felix Hasselhoff 5 yd pass from Borkus Maximus III. (Beat Meoff kick),7,7
4,2,TD,12:56,Seer Zephyrous 5 yd run. (Adam Anderson kick),7,14
5,2,TD,2:32,Aksel Danielsson 3 yd run. (Beat Meoff kick),14,14
6,2,FG,0:19,37 yd FG by Adam Anderson,14,17
8,3,TD,12:59,Carlito Crush 12 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),14,24
9,3,TD,5:11,None Sunnycursed 20 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),14,31
11,4,TD,11:50,Seer Zephyrous 6 yd run. (Adam Anderson kick),14,38
12,4,TD,3:25,William H. Harrison 90 yd interception return. (Beat Meoff kick),21,38
13,4,TD,0:00,Seer Zephyrous 1 yd run. (Adam Anderson kick),21,45
