,Q,Score Type,Time Remaining,Play,COL,OCO
1,1,FG,10:51,31 yd FG by Jordan Jackson (R),3,0
2,1,TD,8:15,Franklin Armstrong 72 yd run. (Alex Dasistwirklichseinnachname kick),3,7
3,1,TD,4:07,Franklin Armstrong 9 yd run. (Alex Dasistwirklichseinnachname kick),3,14
4,1,TD,0:48,Dexter Banks II 32 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),3,21
6,2,TD,11:53,James Bishop 36 yd pass from Wolfie McDummy. (Jordan Jackson (R) kick),10,21
7,2,TD,9:54,Franklin Armstrong 81 yd run. (Alex Dasistwirklichseinnachname kick),10,28
8,2,TD,5:03,Ashley Owens 7 yd run. (Jordan Jackson (R) kick),17,28
10,3,FG,9:38,18 yd FG by Alex Dasistwirklichseinnachname,17,31
11,3,TD,8:21,Apollo Reed 1 yd run. (Alex Dasistwirklichseinnachname kick),17,38
13,4,FG,3:21,42 yd FG by Alex Dasistwirklichseinnachname,17,41
