,Q,Score Type,Time Remaining,Play,BAL,PHI
1,1,FG,9:55,45 yd FG by Beat (R) Meoff,0,3
2,1,TD,7:08,Owen Taylor 4 yd run. (Turk Turkleton XP no good),6,3
3,1,FG,3:19,27 yd FG by Beat (R) Meoff,6,6
5,2,FG,13:07,45 yd FG by Beat (R) Meoff,6,9
6,2,TD,6:55,Owen Taylor 2 yd run. (Turk Turkleton kick),13,9
8,3,TD,9:42,Darlane Farlane 1 yd run. (Beat (R) Meoff kick),13,16
9,3,TD,6:05,Trey Willie 24 yd pass from Avon Blocksdale. (Turk Turkleton kick),20,16
11,4,TD,13:14,Trey Willie 16 yd pass from Avon Blocksdale. (Turk Turkleton kick),27,16
12,4,TD,5:32,Bubba Nuck 2 yd run. (Turk Turkleton kick),34,16
13,4,TD,0:49,Owen Taylor 1 yd run. (Turk Turkleton kick),41,16
