,Q,Score Type,Time Remaining,Play,OCO,SJS
1,1,TD,14:40,Jaylon Broxton 95 yd kickoff return. (Adam (R) Anderson kick),7,0
2,1,TD,7:45,Chris (R) Orosz 2 yd run. (Kyle Corbett kick),7,7
3,1,TD,4:49,Danny Grithead 28 yd interception return. (Adam (R) Anderson kick),14,7
5,2,FG,14:55,29 yd FG by Adam (R) Anderson,17,7
6,2,TD,3:15,Zapp Brannigan 11 yd pass from Joliet L. (R) Christ. (Kyle Corbett kick),17,14
8,3,TD,10:57,Carlito Crush 9 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),24,14
9,3,FG,5:28,33 yd FG by Kyle Corbett,24,17
11,4,TD,13:52,Carlito Crush 28 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),31,17
12,4,FG,9:29,24 yd FG by Kyle Corbett,31,20
13,4,TD,8:58,Xandra Troyski 44 yd interception return. (2pt conversion good),31,28
