,Q,Score Type,Time Remaining,Play,SJS,COL
1,1,FG,11:50,45 yd FG by Kyle Corbett,0,3
2,1,TD,6:39,Jerrod Canton 2 yd run. (Neo Donaldson kick),7,3
3,1,TD,3:47,Jerrod Canton 2 yd run. (Neo Donaldson kick),14,3
4,1,TD,0:00,Blackford Oakes 70 yd punt return. (Kyle Corbett kick),14,10
6,2,FG,9:37,46 yd FG by Neo Donaldson,17,10
7,2,TD,5:21,Kazimir Oles 15 yd pass from Joliet L. Christ. (Neo Donaldson kick),24,10
8,2,FG,0:12,42 yd FG by Neo Donaldson,27,10
10,3,TD,11:58,James Bishop 6 yd pass from Micycle McCormick. (Kyle Corbett kick),27,17
11,3,TD,6:35,Kazimir Oles 36 yd pass from Joliet L. Christ. (Neo Donaldson kick),34,17
12,3,TD,6:20,James Bishop 101 yd kickoff return. (Kyle Corbett kick),34,24
14,4,TD,12:42,Jerrod Canton 2 yd run. (Neo Donaldson kick),41,24
15,4,TD,11:15,Jerrod Canton 5 yd run. (Neo Donaldson kick),48,24
16,4,FG,5:15,41 yd FG by Neo Donaldson,51,24
