Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Helanen, T.",YKW,9,92,10.2,22,0,1,17
"Canton, J.",YKW,9,82,9.1,27,3,1,17
"Swift, N.",YKW,7,78,11.1,29,0,1,17
"Parker, J.",YKW,7,56,8,10,0,1,17
"Marshall, M.",YKW,3,14,4.7,7,0,1,17
"Forty-Two, L.",COL,2,35,17.5,25,0,1,17
"Bishop, J.",COL,2,31,15.5,16,0,1,17
"Crindy, B.",COL,2,8,4,5,0,1,17
"Palmer, J.",COL,1,21,21,21,0,1,17
"Pennington, B.",COL,1,16,16,16,0,1,17
"Carrasco, T.",COL,1,12,12,12,0,1,17
"Taffy, T.",COL,1,7,7,7,0,1,17
"Wright, R.",COL,1,7,7,7,0,1,17
