,Q,Score Type,Time Remaining,Play,COL,YKW
1,1,FG,11:04,19 yd FG by Joshua Jones II (R),3,0
2,1,TD,4:33,Morgan Marshall 4 yd run. (Kicky Bobby (R) kick),3,7
4,2,TD,14:03,Jerrod Canton 9 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),3,14
5,2,TD,10:09,Thomas Carrasco 12 yd run. (Joshua Jones II (R) kick),10,14
6,2,TD,9:29,Terry Taffy 1 yd run. (Joshua Jones II (R) kick),17,14
7,2,FG,1:20,24 yd FG by Joshua Jones II (R),20,14
9,3,TD,6:00,Jerrod Canton 7 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),20,21
11,4,FG,14:17,44 yd FG by Kicky Bobby (R),20,24
12,4,TD,9:15,Jerrod Canton 27 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),20,31
13,4,FG,5:34,27 yd FG by Joshua Jones II (R),23,31
