,Q,Score Type,Time Remaining,Play,AZ,OCO
1,1,TD,8:39,Vinny Valentine 3 yd pass from Andrew Reese. (Cameron Clutch (R) kick),7,0
2,1,TD,6:06,Beau Montgomery 46 yd interception return. (Cameron Clutch (R) kick),14,0
3,1,TD,3:13,Dexter Banks II (R) 27 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),14,7
5,2,FG,10:49,29 yd FG by Cameron Clutch (R),17,7
6,2,TD,7:27,Yulic Nagasawa 30 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname XP no good),17,13
7,2,FG,0:29,27 yd FG by Alex Dasistwirklichseinnachname,17,16
9,3,FG,9:23,29 yd FG by Alex Dasistwirklichseinnachname,17,19
10,3,TD,4:24,Slim Shady 1 yd run. (Cameron Clutch (R) kick),24,19
12,4,TD,13:32,Vinny Valentine 22 yd pass from Andrew Reese. (Cameron Clutch (R) kick),31,19
13,4,FG,5:04,37 yd FG by Alex Dasistwirklichseinnachname,31,22
