,Q,Score Type,Time Remaining,Play,CHI,PHI
1,1,TD,13:35,Stuart Little IV 25 yd interception return. (Baxter Frost XP no good),0,6
2,1,TD,6:05,Sam Torenson 2 yd run. (Baxter Frost kick),0,13
3,1,TD,1:43,Aksel Danielsson 3 yd run. (Kulture Fulture kick),7,13
5,2,TD,11:40,Sam Torenson 2 yd run. (Baxter Frost XP no good),7,19
6,2,TD,8:37,Aksel Danielsson 11 yd run. (Kulture Fulture kick),14,19
7,2,TD,3:07,Sam Torenson 7 yd run. (Baxter Frost kick),14,26
8,2,TD,2:12,Sam Torenson 1 yd run. (Baxter Frost kick),14,33
9,2,FG,0:15,29 yd FG by Baxter Frost,14,36
11,3,FG,10:24,17 yd FG by Baxter Frost,14,39
12,3,TD,4:01,Lennox Garnett 46 yd interception return. (Baxter Frost kick),14,46
14,4,FG,14:18,35 yd FG by Kulture Fulture,17,46
15,4,FG,7:14,43 yd FG by Baxter Frost,17,49
16,4,TD,0:54,Sweet James-Jones (R) 4 yd pass from Rose Jenkins. (Kulture Fulture kick),24,49
