,Q,Score Type,Time Remaining,Play,SJS,BAL
1,1,TD,6:03,Kolby Deringer 81 yd interception return. (Kicky Bobby kick),7,0
2,1,TD,1:49,Brock Landers 9 yd pass from Corvo Havran. (ForThe Brand kick),7,7
4,2,FG,12:20,39 yd FG by Kicky Bobby,10,7
5,2,TD,5:55,Caleb Beck 24 yd interception return. (Kicky Bobby kick),17,7
6,2,FG,1:52,49 yd FG by Kicky Bobby,20,7
8,3,TD,11:36,Ludicolo Bigby 4 yd run. (ForThe Brand kick),20,14
9,3,TD,2:23,Joseph Wozniak (R) 62 yd interception return. (Kicky Bobby kick),27,14
11,4,TD,7:50,Ludicolo Bigby 8 yd pass from Corvo Havran. (ForThe Brand XP no good),27,20
12,4,TD,4:02,Errol Maddox 65 yd punt return. (ForThe Brand kick),27,27
13,4,FG,0:12,35 yd FG by Kicky Bobby,30,27
