,Q,Score Type,Time Remaining,Play,OCO,NO
1,1,TD,14:13,Franklin Armstrong 1 yd run. (Alex Dasistwirklichseinnachname kick),7,0
2,1,TD,7:50,Blake Alexander (R) 6 yd pass from Stan Francisco. (Herbert Prohaska kick),7,7
3,1,TD,3:16,Future Trunks 27 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),14,7
5,2,TD,12:53,Forrest Gump 1 yd run. (Herbert Prohaska kick),14,14
6,2,TD,4:52,Tatsu Nakamura 1 yd run. (Alex Dasistwirklichseinnachname kick),21,14
7,2,FG,0:27,45 yd FG by Herbert Prohaska,21,17
9,3,TD,8:58,Tatsu Nakamura 4 yd run. (Alex Dasistwirklichseinnachname kick),28,17
10,3,FG,2:54,45 yd FG by Alex Dasistwirklichseinnachname,31,17
12,4,FG,15:00,45 yd FG by Herbert Prohaska,31,20
13,4,FG,8:41,22 yd FG by Alex Dasistwirklichseinnachname,34,20
14,4,TD,3:01,Austin McCormick 1 yd pass from Stan Francisco. (Herbert Prohaska kick),34,27
