,Q,Score Type,Time Remaining,Play,OCO,COL
1,1,FG,8:23,29 yd FG by Micycle McCormick,0,3
3,2,FG,11:06,47 yd FG by Bradley Madlad,3,3
4,2,TD,6:53,Dwayne Aaron 35 yd pass from Ryan Applehort. (Micycle McCormick kick),3,10
5,2,FG,3:53,43 yd FG by Bradley Madlad,6,10
6,2,FG,0:18,45 yd FG by Micycle McCormick,6,13
8,3,TD,12:58,Brian Wheat 10 yd pass from Ryan Applehort. (Micycle McCormick kick),6,20
9,3,TD,10:33,Jordan Yates 12 yd run. (Bradley Madlad kick),13,20
10,3,FG,6:00,39 yd FG by Micycle McCormick,13,23
11,3,TD,1:08,Robert Phelps 2 yd pass from Mike Boss. (Bradley Madlad kick),20,23
12,3,TD,0:47,Damien Kroetch 1 yd run. (Micycle McCormick kick),20,30
14,4,TD,9:59,Mark Grau 4 yd pass from Ryan Applehort. (Micycle McCormick kick),20,37
15,4,FG,8:12,20 yd FG by Bradley Madlad,23,37
16,4,FG,1:32,20 yd FG by Micycle McCormick,23,40
