Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Espeeyeeseetee, A.",BAL,5,49,9.8,19,0,8,19
"Maddox, E.",BAL,4,73,18.2,30,1,8,19
"L'Alto, V.",BAL,4,25,6.2,8,1,8,19
"Bigby, L.",BAL,3,21,7,14,0,8,19
"Quinn, A.",BAL,2,60,30,47,0,8,19
"Sauce, E.",BAL,2,11,5.5,6,0,8,19
"Utler, J.",CHI,7,34,4.9,10,0,8,19
"O'Leary, S.",CHI,6,119,19.8,40,0,8,19
"Parker, J.",CHI,6,69,11.5,19,0,8,19
"Harp, D.",CHI,6,29,4.8,12,0,8,19
"James-Jones, S.",CHI,4,60,15,20,0,8,19
"Danielsson, A.",CHI,2,22,11,22,0,8,19
"Hand Bot, Z.",CHI,1,22,22,22,0,8,19
