,Q,Score Type,Time Remaining,Play,NO,SJS
1,1,TD,5:32,Xavier Flash 10 yd pass from Joliet L. Christ. (Neo (R) Donaldson kick),0,7
2,1,TD,0:59,D'Pez Poopsie 35 yd interception return. (Neo (R) Donaldson kick),0,14
4,2,TD,11:45,Trey (R) Staley 23 yd interception return. (Neo (R) Donaldson kick),0,21
5,2,TD,6:32,Borro Gore 3 yd run. (Beat Meoff XP no good),6,21
6,2,TD,0:24,Jerrod Canton 3 yd run. (Neo (R) Donaldson kick),6,28
8,3,TD,9:55,Thjalfi (R) Halvorsen 8 yd pass from Borkus Maximus III. (Beat Meoff kick),13,28
9,3,TD,4:28,Xavier Flash 14 yd pass from Joliet L. Christ. (Neo (R) Donaldson kick),13,35
11,4,FG,11:18,29 yd FG by Neo (R) Donaldson,13,38
12,4,FG,5:20,20 yd FG by Beat Meoff,16,38
13,4,TD,2:08,Xavier Flash 17 yd pass from Joliet L. Christ. (Neo (R) Donaldson kick),16,45
