Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"Domine, J.",CHI,6,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Shields, T.",CHI,5,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,14,25
"Firestorm-Fjord, O.",CHI,4,0,0,0/0,3,1,0,0,0/0/0,0,0,0,0,14,25
"d'Alcott, R.",CHI,3,0,0,0/1,1,1,0,0,0/0/0,1,0,0,0,14,25
"MacAndrew, H.",CHI,3,0,0,1/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Oles JR, T.",CHI,3,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,14,25
"Eller, A.",CHI,2,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Hayes, V.",CHI,2,1,1,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Hockhertz, M.",CHI,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Smirh, J.",CHI,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Brooks, D.",CHI,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Mango-Panda, H.",SAR,14,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,14,25
"Dillmiballs, F.",SAR,12,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Andrews, H.",SAR,10,0,0,0/0,2,1,0,0,0/0/0,0,0,0,0,14,25
"Nkiah, J.",SAR,7,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Beat, N.",SAR,6,1,0,0/0,2,0,0,0,0/0/0,0,0,0,0,14,25
"Adams, X.",SAR,4,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,14,25
"Goku, S.",SAR,4,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Heights, A.",SAR,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Jackson, D.",SAR,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Karpaasi, M.",SAR,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Clemente, C.",SAR,2,0,0,0/0,2,1,0,0,1/0/0,0,1,0,0,14,25
"Sternenstaub, S.",SAR,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
