,Q,Score Type,Time Remaining,Play,OCO,SJS
1,1,FG,12:36,32 yd FG by Alex Dasistwirklichseinnachname,3,0
2,1,FG,9:55,46 yd FG by Neo Donaldson,3,3
3,1,FG,6:16,42 yd FG by Neo Donaldson,3,6
5,2,TD,11:30,Chris Orosz 8 yd run. (Neo Donaldson kick),3,13
6,2,FG,0:13,24 yd FG by Neo Donaldson,3,16
8,3,TD,10:11,Apollo Reed 2 yd run. (Alex Dasistwirklichseinnachname kick),10,16
9,3,FG,6:41,46 yd FG by Alex Dasistwirklichseinnachname,13,16
11,4,FG,13:26,36 yd FG by Neo Donaldson,13,19
12,4,TD,9:53,Vinny Valentine 6 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),20,19
13,4,SF,9:28,Joliet L. Christ tackled for a safety.,22,19
14,4,TD,6:36,Johnny Blaze 15 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname XP no good),28,19
