,Q,Score Type,Time Remaining,Play,CHI,BAL
1,1,TD,8:53,Earl Sauce 5 yd pass from Corvo Havran. (ForThe Brand kick),0,7
3,2,FG,11:41,24 yd FG by Kulture Fulture,3,7
4,2,TD,9:34,Errol Maddox 23 yd pass from Corvo Havran. (ForThe Brand kick),3,14
5,2,TD,6:20,Ludicolo Bigby 2 yd run. (ForThe Brand kick),3,21
7,3,TD,13:00,Juan Marston (R) 23 yd interception return. (ForThe Brand kick),3,28
8,3,TD,3:31,Ludicolo Bigby 6 yd run. (ForThe Brand kick),3,35
10,4,TD,14:13,Sweet James-Jones 27 yd pass from Rose Jenkins. (Kulture Fulture kick),10,35
11,4,TD,11:17,Errol Maddox 2 yd pass from Corvo Havran. (ForThe Brand kick),10,42
12,4,TD,8:52,Aksel Danielsson 1 yd run. (Kulture Fulture kick),17,42
13,4,TD,5:12,Errol Maddox 3 yd pass from Corvo Havran. (ForThe Brand kick),17,49
